ID,Gender,Location,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Online Shopping Expenditure Percentage,Impulsive Buying Behavior Score,Promotion Score,Social Influence Score,Happiness Score,Self Control Score,Normative Evaluation Score
1,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1997,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,2.5,3.0,1.6666666666666667,3.5,4.0,3.0
2,Male,DKI Jakarta,e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,1.75,3.25,2.0,4.0,3.4,4.8
3,Male,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3.0,3.0,3.1666666666666665,4.0,2.8,3.0
4,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Students,"Less than Rp 1,000,000",Less than 20%,4.0,4.0,4.0,4.0,2.4,1.2
5,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Working,"More than Rp 10,000,000",Less than 20%,1.0,2.0,1.8333333333333333,3.25,3.2,2.8
6,Male,West Sumatera,e-paylater user,Until Senior High School,2000,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4.0,3.25,4.0,3.5,2.8,3.8
7,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,3.0,1.0,1.0,5.0,3.4,5.0
8,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,1.75,1.0,1.0,5.0,2.4,5.0
9,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Entrepreneur,"More than Rp 10,000,000",Less than 20%,2.0,2.0,2.1666666666666665,2.25,4.4,4.6
10,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"More than Rp 10,000,000",Less than 20%,3.0,2.0,3.0,3.0,3.4,3.0
11,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2003,Working,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,1.25,2.0,2.0,3.0,4.4,3.4
12,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4.0,4.0,3.8333333333333335,2.0,2.2,3.6
13,Male,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"More than Rp 10,000,000",Less than 20%,3.5,1.75,2.0,3.25,4.0,3.2
