ID,Gender,Location,E-Paylater User Status,Educational Background,Year of Birth,Job Status,Monthly Income,Online Shopping Expenditure Percentage,IBB1,IBB2,IBB3,IBB4,P1,P2,P3,P4,SI1,SI2,SI3,SI4,SI5,SI6,H1,H2,H3,H4,SC1,SC2,SC3,SC4,SC5,NE1,NE2,NE3,NE4,NE5
1,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,1997,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,3,3,1,3,3,3,3,2,2,2,2,1,1,4,3,4,3,5,5,3,3,4,3,3,4,3,2
2,Male,DKI Jakarta,e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,3,1,2,1,3,4,3,3,1,1,1,4,2,3,4,4,4,4,4,4,2,3,4,5,5,5,5,4
3,Male,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,3,3,3,3,3,3,3,3,3,4,3,3,3,3,4,4,4,4,4,4,2,2,2,3,3,3,3,3
4,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,2,2,2,1,1,1,2,1
5,Male,West Sumatera,e-paylater user,Bachelor/Diploma IV,2002,Working,"More than Rp 10,000,000",Less than 20%,1,1,1,1,2,2,2,2,2,1,2,3,1,2,3,3,4,3,5,2,3,1,5,3,3,2,3,3
6,Male,West Sumatera,e-paylater user,Until Senior High School,2000,Students,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,4,5,2,5,3,3,4,3,4,5,5,3,4,3,3,4,4,3,1,1,2,5,5,3,4,4,4,4
7,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",Less than 20%,4,1,3,4,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,2,3,2,5,5,5,5,5
8,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Less than Rp 1,000,000",21% - 40%,1,1,2,3,1,1,1,1,1,1,1,1,1,1,5,5,5,5,3,3,1,2,3,5,5,5,5,5
9,Female,West Sumatera,e-paylater user,Bachelor/Diploma IV,2001,Entrepreneur,"More than Rp 10,000,000",Less than 20%,2,2,2,2,1,2,2,3,3,2,2,2,2,2,3,2,2,2,5,5,4,4,4,3,5,5,5,5
10,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Working,"More than Rp 10,000,000",Less than 20%,4,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,3
11,Female,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2003,Working,"Rp 1,000,001 - Rp 2,500,000",21% - 40%,2,1,1,1,2,2,2,2,2,2,2,2,2,2,3,3,3,3,5,5,4,4,4,5,4,4,2,2
12,Female,West Sumatera,Non e-paylater user,Until Senior High School,2002,Students,"Rp 1,000,001 - Rp 2,500,000",Less than 20%,4,4,4,4,4,4,4,4,4,4,3,4,4,4,2,2,2,2,2,3,2,2,2,3,4,3,4,4
13,Male,West Sumatera,Non e-paylater user,Post Graduate,2001,Working,"More than Rp 10,000,000",Less than 20%,5,4,3,2,2,2,1,2,2,2,2,2,2,2,3,3,4,3,5,4,3,4,4,4,4,4,2,2
14,Male,DKI Jakarta,Non e-paylater user,Post Graduate,1999,Entrepreneur,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,5,5,4,4,5,5,5,5,5,5
15,Male,West Sumatera,Non e-paylater user,Bachelor/Diploma IV,2002,Students,"Less than Rp 1,000,000",Less than 20%,2,3,3,2,2,2,2,3,3,4,2,2,1,2,3,3,3,4,4,4,3,3,3,3,4,2,2,2
16,Male,West Sumatera,Non e-paylater user,Post Graduate,2000,Working,"Rp 2,500,001 - Rp 5,000,000",Less than 20%,4,4,4,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,4,4,4,3,4,4,4,4
